"date","sunrise","sunset"
"2014-10-12","07:23:58","18:26:42"
"2014-10-13","07:25:24","18:24:48"
"2014-10-14","07:26:50","18:22:53"
"2014-10-15","07:28:17","18:21:00"
"2014-10-16","07:29:44","18:19:07"
"2014-10-17","07:31:11","18:17:16"
"2014-10-18","07:32:38","18:15:25"
"2014-10-19","07:34:06","18:13:35"
"2014-10-20","07:35:34","18:11:46"
"2014-10-21","07:37:03","18:09:59"
"2014-10-22","07:38:31","18:08:12"
"2014-10-23","07:40:00","18:06:26"
"2014-10-24","07:41:29","18:04:42"
"2014-10-25","07:42:59","18:02:58"
"2014-10-26","07:44:29","18:01:16"
"2014-10-27","07:45:59","17:59:36"
"2014-10-28","07:47:29","17:57:56"
"2014-10-29","07:48:59","17:56:18"
"2014-10-30","07:50:30","17:54:41"
"2014-10-31","07:52:00","17:53:06"
"2014-11-01","07:53:31","17:51:32"
"2014-11-02","06:55:02","16:50:00"
"2014-11-02","05:55:02","15:50:00"
"2014-11-03","06:56:33","16:48:30"
"2014-11-04","06:58:04","16:47:01"
"2014-11-05","06:59:35","16:45:33"
"2014-11-06","07:01:06","16:44:08"
"2014-11-07","07:02:38","16:42:44"
"2014-11-08","07:04:08","16:41:22"
"2014-11-09","07:05:39","16:40:01"
"2014-11-10","07:07:10","16:38:43"
"2014-11-11","07:08:41","16:37:27"
"2014-11-12","07:10:11","16:36:12"
"2014-11-13","07:11:41","16:35:00"
"2014-11-14","07:13:10","16:33:49"
"2014-11-15","07:14:40","16:32:41"
"2014-11-16","07:16:08","16:31:35"
"2014-11-17","07:17:37","16:30:31"
"2014-11-18","07:19:04","16:29:30"
"2014-11-19","07:20:31","16:28:30"
"2014-11-20","07:21:58","16:27:33"
"2014-11-21","07:23:23","16:26:39"
"2014-11-22","07:24:48","16:25:47"
"2014-11-23","07:26:12","16:24:57"
"2014-11-24","07:27:35","16:24:10"
"2014-11-25","07:28:57","16:23:25"
"2014-11-26","07:30:18","16:22:43"
"2014-11-27","07:31:38","16:22:03"
"2014-11-28","07:32:56","16:21:27"
"2014-11-29","07:34:13","16:20:52"
"2014-11-30","07:35:29","16:20:21"
"2014-12-01","07:36:44","16:19:52"
"2014-12-02","07:37:57","16:19:26"
"2014-12-03","07:39:08","16:19:03"
"2014-12-04","07:40:18","16:18:43"
"2014-12-05","07:41:26","16:18:25"
"2014-12-06","07:42:32","16:18:11"
"2014-12-07","07:43:36","16:17:59"
"2014-12-08","07:44:39","16:17:50"
"2014-12-09","07:45:39","16:17:44"
"2014-12-10","07:46:38","16:17:41"
"2014-12-11","07:47:34","16:17:41"
"2014-12-12","07:48:28","16:17:44"
"2014-12-13","07:49:20","16:17:49"
"2014-12-14","07:50:09","16:17:58"
"2014-12-15","07:50:56","16:18:09"
"2014-12-16","07:51:41","16:18:24"
"2014-12-17","07:52:23","16:18:41"
"2014-12-18","07:53:03","16:19:01"
"2014-12-19","07:53:40","16:19:24"
"2014-12-20","07:54:15","16:19:50"
"2014-12-21","07:54:47","16:20:18"
"2014-12-22","07:55:16","16:20:49"
"2014-12-23","07:55:42","16:21:23"
"2014-12-24","07:56:06","16:22:00"
"2014-12-25","07:56:27","16:22:39"
"2014-12-26","07:56:45","16:23:21"
"2014-12-27","07:57:00","16:24:06"
"2014-12-28","07:57:13","16:24:53"
"2014-12-29","07:57:23","16:25:42"
"2014-12-30","07:57:29","16:26:34"
"2014-12-31","07:57:33","16:27:28"
"2015-01-01","07:57:34","16:28:25"
"2015-01-02","07:57:32","16:29:24"
"2015-01-03","07:57:28","16:30:25"
"2015-01-04","07:57:20","16:31:28"
"2015-01-05","07:57:10","16:32:33"
"2015-01-06","07:56:57","16:33:40"
"2015-01-07","07:56:41","16:34:49"
"2015-01-08","07:56:22","16:35:59"
"2015-01-09","07:56:00","16:37:12"
"2015-01-10","07:55:35","16:38:26"
"2015-01-11","07:55:08","16:39:42"
"2015-01-12","07:54:38","16:40:59"
"2015-01-13","07:54:06","16:42:18"
"2015-01-14","07:53:30","16:43:38"
"2015-01-15","07:52:52","16:44:59"
"2015-01-16","07:52:12","16:46:22"
"2015-01-17","07:51:29","16:47:46"
"2015-01-18","07:50:43","16:49:11"
"2015-01-19","07:49:55","16:50:37"
"2015-01-20","07:49:05","16:52:04"
"2015-01-21","07:48:12","16:53:32"
"2015-01-22","07:47:16","16:55:01"
"2015-01-23","07:46:18","16:56:31"
"2015-01-24","07:45:18","16:58:01"
"2015-01-25","07:44:16","16:59:32"
"2015-01-26","07:43:12","17:01:04"
"2015-01-27","07:42:05","17:02:36"
"2015-01-28","07:40:56","17:04:08"
"2015-01-29","07:39:46","17:05:41"
"2015-01-30","07:38:33","17:07:15"
"2015-01-31","07:37:18","17:08:49"
"2015-02-01","07:36:01","17:10:23"
"2015-02-02","07:34:43","17:11:57"
"2015-02-03","07:33:22","17:13:31"
"2015-02-04","07:32:00","17:15:06"
"2015-02-05","07:30:36","17:16:41"
"2015-02-06","07:29:10","17:18:15"
"2015-02-07","07:27:43","17:19:50"
"2015-02-08","07:26:14","17:21:25"
"2015-02-09","07:24:43","17:23:00"
"2015-02-10","07:23:11","17:24:35"
"2015-02-11","07:21:37","17:26:09"
"2015-02-12","07:20:02","17:27:44"
"2015-02-13","07:18:25","17:29:18"
"2015-02-14","07:16:48","17:30:52"
"2015-02-15","07:15:08","17:32:27"
"2015-02-16","07:13:28","17:34:01"
"2015-02-17","07:11:46","17:35:34"
"2015-02-18","07:10:03","17:37:08"
"2015-02-19","07:08:19","17:38:41"
"2015-02-20","07:06:34","17:40:14"
"2015-02-21","07:04:48","17:41:47"
"2015-02-22","07:03:00","17:43:19"
"2015-02-23","07:01:12","17:44:52"
"2015-02-24","06:59:23","17:46:24"
"2015-02-25","06:57:33","17:47:55"
"2015-02-26","06:55:42","17:49:27"
"2015-02-27","06:53:50","17:50:58"
"2015-02-28","06:51:57","17:52:29"
"2015-03-01","06:50:04","17:53:59"
"2015-03-02","06:48:10","17:55:30"
"2015-03-03","06:46:15","17:57:00"
"2015-03-04","06:44:19","17:58:29"
"2015-03-05","06:42:23","17:59:59"
"2015-03-06","06:40:26","18:01:28"
"2015-03-07","06:38:29","18:02:57"
"2015-03-09","07:34:33","19:05:54"
"2015-03-10","07:32:34","19:07:22"
"2015-03-11","07:30:35","19:08:50"
"2015-03-12","07:28:36","19:10:18"
"2015-03-13","07:26:36","19:11:46"
"2015-03-14","07:24:36","19:13:13"
"2015-03-15","07:22:35","19:14:40"
"2015-03-16","07:20:34","19:16:07"
"2015-03-17","07:18:33","19:17:34"
"2015-03-18","07:16:32","19:19:00"
"2015-03-19","07:14:31","19:20:27"
"2015-03-20","07:12:29","19:21:53"
"2015-03-21","07:10:28","19:23:19"
"2015-03-22","07:08:26","19:24:45"
"2015-03-23","07:06:25","19:26:11"
"2015-03-24","07:04:23","19:27:37"
"2015-03-25","07:02:21","19:29:02"
"2015-03-26","07:00:20","19:30:28"
"2015-03-27","06:58:18","19:31:53"
"2015-03-28","06:56:17","19:33:19"
"2015-03-29","06:54:16","19:34:44"
"2015-03-30","06:52:14","19:36:09"
"2015-03-31","06:50:14","19:37:35"
"2015-04-01","06:48:13","19:39:00"
"2015-04-02","06:46:13","19:40:25"
"2015-04-03","06:44:13","19:41:50"
"2015-04-04","06:42:13","19:43:15"
"2015-04-05","06:40:14","19:44:40"
"2015-04-06","06:38:15","19:46:05"
"2015-04-07","06:36:16","19:47:30"
"2015-04-08","06:34:18","19:48:55"
"2015-04-09","06:32:20","19:50:20"
"2015-04-10","06:30:23","19:51:45"
"2015-04-11","06:28:27","19:53:10"
"2015-04-12","06:26:31","19:54:35"
"2015-04-13","06:24:35","19:56:00"
"2015-04-14","06:22:41","19:57:25"
"2015-04-15","06:20:47","19:58:49"
"2015-04-16","06:18:54","20:00:14"
"2015-04-17","06:17:01","20:01:39"
"2015-04-18","06:15:09","20:03:04"
"2015-04-19","06:13:18","20:04:29"
"2015-04-20","06:11:28","20:05:53"
"2015-04-21","06:09:39","20:07:18"
"2015-04-22","06:07:51","20:08:43"
"2015-04-23","06:06:04","20:10:07"
"2015-04-24","06:04:17","20:11:32"
"2015-04-25","06:02:32","20:12:56"
"2015-04-26","06:00:48","20:14:20"
"2015-04-27","05:59:05","20:15:44"
"2015-04-28","05:57:23","20:17:08"
"2015-04-29","05:55:42","20:18:32"
"2015-04-30","05:54:03","20:19:55"
"2015-05-01","05:52:25","20:21:18"
"2015-05-02","05:50:48","20:22:41"
"2015-05-03","05:49:12","20:24:04"
"2015-05-04","05:47:38","20:25:26"
"2015-05-05","05:46:06","20:26:48"
"2015-05-06","05:44:34","20:28:10"
"2015-05-07","05:43:05","20:29:31"
"2015-05-08","05:41:36","20:30:52"
"2015-05-09","05:40:10","20:32:13"
"2015-05-10","05:38:45","20:33:32"
"2015-05-11","05:37:21","20:34:52"
"2015-05-12","05:36:00","20:36:10"
"2015-05-13","05:34:40","20:37:28"
"2015-05-14","05:33:22","20:38:46"
"2015-05-15","05:32:06","20:40:02"
"2015-05-16","05:30:51","20:41:18"
"2015-05-17","05:29:39","20:42:33"
"2015-05-18","05:28:28","20:43:47"
"2015-05-19","05:27:20","20:45:00"
"2015-05-20","05:26:13","20:46:13"
"2015-05-21","05:25:09","20:47:24"
"2015-05-22","05:24:06","20:48:34"
"2015-05-23","05:23:06","20:49:43"
"2015-05-24","05:22:08","20:50:51"
"2015-05-25","05:21:12","20:51:57"
"2015-05-26","05:20:19","20:53:03"
"2015-05-27","05:19:27","20:54:07"
"2015-05-28","05:18:38","20:55:09"
"2015-05-29","05:17:52","20:56:10"
"2015-05-30","05:17:07","20:57:10"
"2015-05-31","05:16:26","20:58:07"
"2015-06-01","05:15:46","20:59:04"
"2015-06-02","05:15:09","20:59:58"
"2015-06-03","05:14:35","21:00:51"
"2015-06-04","05:14:02","21:01:42"
"2015-06-05","05:13:33","21:02:31"
"2015-06-06","05:13:06","21:03:18"
"2015-06-07","05:12:41","21:04:04"
"2015-06-08","05:12:19","21:04:47"
"2015-06-09","05:12:00","21:05:28"
"2015-06-10","05:11:43","21:06:07"
"2015-06-11","05:11:29","21:06:44"
"2015-06-12","05:11:17","21:07:19"
"2015-06-13","05:11:08","21:07:51"
"2015-06-14","05:11:02","21:08:21"
"2015-06-15","05:10:58","21:08:49"
"2015-06-16","05:10:57","21:09:14"
"2015-06-17","05:10:58","21:09:37"
"2015-06-18","05:11:02","21:09:58"
"2015-06-19","05:11:08","21:10:16"
"2015-06-20","05:11:17","21:10:32"
"2015-06-21","05:11:28","21:10:45"
"2015-06-22","05:11:42","21:10:55"
"2015-06-23","05:11:58","21:11:03"
"2015-06-24","05:12:17","21:11:09"
"2015-06-25","05:12:38","21:11:12"
"2015-06-26","05:13:02","21:11:12"
"2015-06-27","05:13:27","21:11:09"
"2015-06-28","05:13:55","21:11:04"
"2015-06-29","05:14:26","21:10:57"
"2015-06-30","05:14:58","21:10:46"
"2015-07-01","05:15:33","21:10:33"
"2015-07-02","05:16:10","21:10:18"
"2015-07-03","05:16:49","21:10:00"
"2015-07-04","05:17:29","21:09:39"
"2015-07-05","05:18:12","21:09:15"
"2015-07-06","05:18:57","21:08:49"
"2015-07-07","05:19:44","21:08:21"
"2015-07-08","05:20:32","21:07:50"
"2015-07-09","05:21:22","21:07:16"
"2015-07-10","05:22:14","21:06:40"
"2015-07-11","05:23:08","21:06:01"
"2015-07-12","05:24:03","21:05:20"
"2015-07-13","05:25:00","21:04:37"
"2015-07-14","05:25:58","21:03:51"
"2015-07-15","05:26:58","21:03:03"
"2015-07-16","05:27:59","21:02:12"
"2015-07-17","05:29:01","21:01:19"
"2015-07-18","05:30:05","21:00:24"
"2015-07-19","05:31:09","20:59:26"
"2015-07-20","05:32:15","20:58:26"
"2015-07-21","05:33:22","20:57:25"
"2015-07-22","05:34:30","20:56:21"
"2015-07-23","05:35:39","20:55:14"
"2015-07-24","05:36:49","20:54:06"
"2015-07-25","05:38:00","20:52:56"
"2015-07-26","05:39:12","20:51:44"
"2015-07-27","05:40:24","20:50:30"
"2015-07-28","05:41:37","20:49:14"
"2015-07-29","05:42:51","20:47:56"
"2015-07-30","05:44:06","20:46:36"
"2015-07-31","05:45:21","20:45:14"
"2015-08-01","05:46:37","20:43:51"
"2015-08-02","05:47:53","20:42:26"
"2015-08-03","05:49:10","20:40:59"
"2015-08-04","05:50:27","20:39:31"
"2015-08-05","05:51:44","20:38:01"
"2015-08-06","05:53:02","20:36:30"
"2015-08-07","05:54:20","20:34:57"
"2015-08-08","05:55:39","20:33:23"
"2015-08-09","05:56:58","20:31:47"
"2015-08-10","05:58:17","20:30:10"
"2015-08-11","05:59:36","20:28:31"
"2015-08-12","06:00:56","20:26:51"
"2015-08-13","06:02:15","20:25:10"
"2015-08-14","06:03:35","20:23:28"
"2015-08-15","06:04:55","20:21:45"
"2015-08-16","06:06:15","20:20:00"
"2015-08-17","06:07:35","20:18:14"
"2015-08-18","06:08:56","20:16:28"
"2015-08-19","06:10:16","20:14:40"
"2015-08-20","06:11:36","20:12:51"
"2015-08-21","06:12:57","20:11:01"
"2015-08-22","06:14:17","20:09:10"
"2015-08-23","06:15:38","20:07:19"
"2015-08-24","06:16:58","20:05:26"
"2015-08-25","06:18:19","20:03:33"
"2015-08-26","06:19:39","20:01:39"
"2015-08-27","06:21:00","19:59:44"
"2015-08-28","06:22:20","19:57:49"
"2015-08-29","06:23:41","19:55:53"
"2015-08-30","06:25:01","19:53:56"
"2015-08-31","06:26:21","19:51:58"
"2015-09-01","06:27:42","19:50:00"
"2015-09-02","06:29:02","19:48:02"
"2015-09-03","06:30:23","19:46:03"
"2015-09-04","06:31:43","19:44:03"
"2015-09-05","06:33:03","19:42:03"
"2015-09-06","06:34:24","19:40:02"
"2015-09-07","06:35:44","19:38:01"
"2015-09-08","06:37:04","19:36:00"
"2015-09-09","06:38:25","19:33:58"
"2015-09-10","06:39:45","19:31:57"
"2015-09-11","06:41:05","19:29:54"
"2015-09-12","06:42:26","19:27:52"
"2015-09-13","06:43:46","19:25:49"
"2015-09-14","06:45:07","19:23:46"
"2015-09-15","06:46:27","19:21:43"
"2015-09-16","06:47:48","19:19:40"
"2015-09-17","06:49:08","19:17:37"
"2015-09-18","06:50:29","19:15:34"
"2015-09-19","06:51:50","19:13:30"
"2015-09-20","06:53:11","19:11:27"
"2015-09-21","06:54:32","19:09:23"
"2015-09-22","06:55:53","19:07:20"
"2015-09-23","06:57:14","19:05:17"
"2015-09-24","06:58:36","19:03:14"
"2015-09-25","06:59:57","19:01:11"
"2015-09-26","07:01:19","18:59:08"
"2015-09-27","07:02:41","18:57:05"
"2015-09-28","07:04:03","18:55:03"
"2015-09-29","07:05:25","18:53:01"
"2015-09-30","07:06:48","18:50:59"
"2015-10-01","07:08:11","18:48:57"
"2015-10-02","07:09:33","18:46:56"
"2015-10-03","07:10:57","18:44:55"
"2015-10-04","07:12:20","18:42:55"
"2015-10-05","07:13:44","18:40:55"
"2015-10-06","07:15:08","18:38:55"
"2015-10-07","07:16:32","18:36:56"
"2015-10-08","07:17:56","18:34:58"
"2015-10-09","07:19:21","18:33:00"
"2015-10-10","07:20:46","18:31:03"
"2015-10-11","07:22:11","18:29:07"
